Name;type;ingredient;Item Quantity;Item Name;Serving Size Quantity;Serving Size Measure;Unit Measure;Unit Quantity;Volume Measure;Volume Quantity;Calories (kcal);Protein (g);Carbohydrate (Available) (g);Carbohydrates (g);Total Dietary Fiber (g);Dietary Fiber (2016) (g);Fat (g);Saturated Fat (g);Trans Fatty Acid (g);Cholesterol (mg);Sodium (mg);Calcium (mg);Copper (mg);Folate (mcg);Folate, DFE (mcg DFE);Folate, food (mcg);Iron (mg);Magnesium (mg);Manganese (mg);Omega 3 Fatty Acid (g);Omega 6 Fatty Acid (g);Phosphorus (mg);Potassium (mg);Selenium (mcg);Vitamin A - IU (IU);Vitamin A - RAE (mcg);Vitamin A - RE (mcg);Vitamin B1 - Thiamin (mg);Vitamin B12 (mcg);Vitamin B2 - Riboflavin (mg);Vitamin B3 - Niacin (mg);Vitamin B3 - Niacin Equiv (mg);Vitamin B6 (mg);Vitamin C (mg);Vitamin E - Alpha-Toco (mg);Vitamin E - Alpha-Toco Equiv (mg);Vitamin E - IU (IU);Vitamin E - mg (mg);Vitamin K (mcg);Zinc (mg)
15-Minute French Fries;snack;"potato, russet, fresh, with skin, medium, 2 1/4"" to 3 1/4""";18;"potato, russet, fresh, with skin, medium, 2 1/4"" to 3 1/4""";2;Serving;;18;;;3028,86;82,0476;642,9618;692,8038;49,842;49,842;3,0672;0,99684;0;0;191,7;498,42;3,94902;536,76;536,76;536,76;32,9724;881,82;6,01938;0,3834;1,22688;2108,7;15987,78;15,336;38,34;1,917;3,834;3,14388;0;1,26522;39,6819;39,6819;13,2273;218,538;0,3834;0,3834;0,571266;0,3834;69,012;11,1186
15-Minutes Omelet;breakfast;egg, raw;4;egg, raw;2;Serving;;2;;;251,68;22,1056;1,2672;1,2672;0;0;16,7376;5,50176;0,06688;654,72;249,92;98,56;0,12672;82,72;82,72;82,72;3,08;21,12;0,04928;0,19888;3,06768;348,48;242,88;54,032;950,4;282,26;282,92;0,0704;1,5664;0,80432;0,132;4,915645;0,2992;0;1,848;1,848;2,75352;1,848;0,528;2,2704
15-Minutes Omelet;breakfast;butter;1;butter;2;Serving;;2;;;101,813999;0,1207;0,00852;0,00852;0;0;11,51762;7,294256;;30,53;91,305999;3,408;0;0,426;0,426;0,426;0,00284;0,284;;0,04473;0,387376;3,408;3,408;0,142;;97,127999;;0,00071;0,02414;0,004828;0,005964;0,005964;0,000426;0;0,32944;;;;0,994;0,01278
15-Minutes Omelet;breakfast;oil, sunflower;1/2;oil, sunflower;2;Serving;;2;;;20,037327;0;0;0;0;0;2,266666;0,233467;;0;0;0;0;0;0;0;0;0;;0;1,489199;0;0;0;;0;;0;0;0;0;0;0;0;0,931146;;;;0,1224;0
15-Minutes Omelet;breakfast;milk, 1%, with vitamins A & D;2;milk, 1%, with vitamins A & D;2;Serving;;2;;;12,810013;1,027851;1,521952;1,521952;0;0;0,29585;0,193065;0,008845;1,525002;13,420014;38,125039;0,00305;1,525002;1,525002;1,525002;0,00915;3,355003;0,000915;0,00122;0,00915;28,975029;45,750046;1,006501;59,78006;17,740852;17,791684;0,0061;0,14335;0,056425;0,028365;0,233554;0,011285;0;0,00305;0,00305;0,004545;0,00305;0,0305;0,1281
15-Minutes Omelet;breakfast;salt, table;1/6;salt, table;2;Serving;;2;;;0;0;0;0;0;0;0;0;0;0;387,58;0,24;0,0003;0;0;0;0,0033;0,01;0,001;0;0;0;0,08;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
15-Minutes Omelet;breakfast;black pepper, ground;1/6;black pepper, ground;2;Serving;;2;;;0,962167;0,039828;0,148158;0,245142;0,096983;0,096983;0,012497;0,005336;0;0;0,076667;1,698167;0,005098;0,065167;0,065167;0,065167;0,037222;0,6555;0,048886;0,000583;0,00266;0,605667;5,0945;0,018783;2,096833;0,104842;0,209683;0,000414;0;0,00069;0,004381;0,008087;0,001115;0;0,003987;0,003987;0,00594;0,003987;0,627517;0,004562
15-Minutes Omelet;breakfast;mushrooms, brown, fresh;3;mushrooms, brown, fresh;2;Serving;;2;;;13,2;1,5;2,22;2,58;0,36;0,36;0,06;0,0084;0;0;3,6;10,8;0,3;15;15;15;0,24;5,4;0,0852;0;0,024;72;268,8;15,6;0;0;0;0,057;0,06;0,294;2,28;2,839998;0,066;0;0,006;0,006;0,00894;0,006;0;0,66
15-Minutes Omelet;breakfast;cheese, mozzarella, low moisture part skim, shredded;1/4;cheese, mozzarella, low moisture part skim, shredded;2;Serving;;2;;;83,3375;6,709375;1,57635;1,57635;0;0;5,58785;3,190838;0,2034;18,08;188,145;196,9025;0,009322;7,6275;7,6275;7,6275;0,06215;7,6275;0,011017;0,024295;0,215265;154,81;53,11;7,797;234,1925;62,9975;62,9975;0,00678;0,4746;0,099723;0,031358;2,625648;0,02825;0;0,14125;0,14125;0,210462;0,14125;0,36725;1,02265
15-Minutes Omelet;breakfast;parsley, fresh, chopped;2;parsley, fresh, chopped;2;Serving;;2;;;2,736;0,22572;0,23028;0,48108;0,2508;0,2508;0,06004;0,010032;0;0;4,256;10,488;0,011324;11,552;11,552;11,552;0,4712;3,8;0,01216;0,000608;0,00874;4,408;42,103999;0,0076;640,223992;32,0112;64,022401;0,006536;0;0,007448;0,099788;0,156788;0,00684;10,108;0,057;0,057;0,08493;0,057;124,639998;0,08132
15-Minutes Omelet;breakfast;spinach, fresh, chopped;1/4;spinach, fresh, chopped;2;Serving;;2;;;1,725;0,2145;0,10725;0,27225;0,165;0,165;0,02925;0,004725;0;0;5,925;7,425;0,00975;14,55;14,55;14,55;0,20325;5,925;0,067275;0,01035;0,00195;3,675;41,85;0,075;703,275;35,163751;70,327501;0,00585;0;0,014175;0,0543;0,10305;0,014625;2,1075;0,15225;0,15225;0,226853;0,15225;36,217499;0,03975
15-Minutes Omelet;breakfast;onion, white, fresh, chopped;2;onion, white, fresh, chopped;2;Serving;;2;;;8,000008;0,22;1,528002;1,868002;0,34;0,34;0,02;0,0084;0;0;0,800001;4,600005;0,0078;3,800004;3,800004;3,800004;0,042;2,000002;0,0258;0,0008;0,0026;5,800006;29,20003;0,1;0,4;0,02;0,04;0,0092;0;0,0054;0,0232;0,069866;0,024;1,480001;0,004;0,004;0,00596;0,004;0,08;0,034
15-Minutes Omelet;breakfast;basil, dried, leaves;1/4;basil, dried, leaves;2;Serving;;2;;;0,40775;0,040215;0,017587;0,083562;0,065975;0,065975;0,007122;0,003775;0;0;0,133;3,92;0,003675;0,5425;0,5425;0,5425;0,15715;1,24425;0,01715;0,000524;0,000348;0,4795;4,6025;0,00525;1,302;0,0651;0,1302;0,00014;0;0,0021;0,008575;0,016158;0,002345;0,0014;0,018725;0,018725;0,0279;0,018725;3,000375;0,012425
15-Minutes Omelet;breakfast;avocado, California, fresh;1;avocado, California, fresh;2;Serving;;2;;;227,12;2,6656;2,5024;11,7504;9,248;9,248;20,9576;2,89136;0;0;10,88;17,68;0,2312;121,04;121,04;121,04;0,8296;39,44;0,20264;0,17;2,27664;73,44;689,52;0,544;199,92;9,996;19,992;0,102;0;0,19448;2,60032;3,166991;0,39032;11,968;2,6792;2,6792;3,992008;2,6792;28,56;0,9248
15-Minutes Omelet;breakfast;bread, whole grain wheat, toasted;2;bread, whole grain wheat, toasted;2;Serving;;2;;;172,92;7,7286;25,179;31,845;6,666;;1,5576;0,45672;;0;346,5;496,32;0,10824;78,54;99,792;48,18;3,5442;19,14;;0,06204;0,63888;74,58;92,4;11,682;;0;;0,29568;0;0,1848;3,23136;3,23136;0,05808;0;0,2772;;;;5,61;0,6864
15-Minutes Omelet;breakfast;"orange, fresh, medium, 2 5/8""";1;"orange, fresh, medium, 2 5/8""";2;Serving;;2;;;61,57;1,2314;12,2485;15,3925;3,144;3,144;0,1572;0,01965;0;0;0;52,4;0,05895;39,3;39,3;39,3;0,131;13,1;0,03275;0,00917;0,02358;18,34;237,11;0,655;294,75;14,7375;29,475;0,11397;0;0,0524;0,36942;0,56592;0,0786;69,692;0,2358;0,2358;0,351342;0,2358;0;0,0917
15-Minutes Omelet;breakfast;grapes, seedless, fresh, thompson;1/2;grapes, seedless, fresh, thompson;2;Serving;;2;;;52,095;0,5436;12,986;13,6655;0,6795;0,6795;0,1208;0,04077;0;0;1,51;7,55;0,095885;1,51;1,51;1,51;0,2718;5,285;0,053605;0,008305;0,027935;15,1;144,205;0,0755;49,83;2,4915;4,983;0,052095;0;0,05285;0,14194;0,280354;0,06493;2,416;0,14345;0,14345;0,21374;0,14345;11,023;0,05285
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;salmon, atlantic, wild, raw, fillet;1.25;salmon, atlantic, wild, raw, fillet;4;Serving;;4;;;805,126457;112,490908;0;0;0;0;35,947195;5,562176;;311,844754;249,475804;68,038855;1,417476;141,747616;141,747616;141,747616;4,535924;164,427234;0,090718;11,907764;2,488124;1133,980925;2778,253266;206,951519;226,796185;68,038855;68,038855;1,281398;18,030297;2,154564;44,56545;65,544097;4,637982;0;;;;;;3,628739
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;salt, table;1/4;salt, table;4;Serving;;4;;;0;0;0;0;0;0;0;0;0;0;581,37;0,36;0,00045;0;0;0;0,00495;0,015;0,0015;0;0;0;0,12;0,0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0015
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;black pepper, ground;1/4;black pepper, ground;4;Serving;;4;;;1,44325;0,059742;0,222237;0,367712;0,145475;0,145475;0,018745;0,008004;0;0;0,115;2,54725;0,007647;0,09775;0,09775;0,09775;0,055832;0,98325;0,07333;0,000874;0,00399;0,9085;7,64175;0,028175;3,14525;0,157262;0,314525;0,000621;0;0,001035;0,006572;0,012131;0,001673;0;0,00598;0,00598;0,00891;0,00598;0,941275;0,006842
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;oil, olive;2;oil, olive;4;Serving;;4;;;238,68;0;0;0;0;0;27;3,72816;;0;0,54;0,27;0;0;0;0;0,1512;0;0;0,20547;2,63574;0;0,27;0;0;0;0;0;0;0;0;0;0;0;3,8745;3,8745;5,773005;3,8745;16,254;0
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;zucchini, fresh;1;zucchini, fresh;4;Serving;;4;;;33,32;2,3716;4,354003;6,0956;1,741597;1,741597;0,6272;0,16464;;0;15,68;31,36;0,10388;47,04;47,04;47,04;0,7252;35,28;;0,11956;0,0588;74,48;511,56;0,392;;19,6;;0,0882;0;0,18424;0,88396;0,88396;0,31948;35,084;0,2352;;;;8,428;0,6272
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;onion, yellow, fresh, chopped;1/2;onion, yellow, fresh, chopped;4;Serving;;4;;;32;0,88;6,112;7,472;1,36;1,36;0,08;0,0336;0;0;3,2;18,4;0,0312;15,2;15,2;15,2;0,168;8;0,1032;0,0032;0,0104;23,2;116,8;0,4;1,6;0,08;0,16;0,0368;0;0,0216;0,0928;0,279464;0,096;5,92;0,016;0,016;0,02384;0,016;0,32;0,136
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;cream cheese;2;cream cheese;4;Serving;;4;;;198,446662;3,486991;3,129787;3,129787;0;0;19,527152;11,460578;0,582299;57,266037;178,035005;54,998075;0,010206;5,102914;5,102914;5,102914;0,062369;5,102914;0,006237;0,091852;0,717243;60,667979;74,842741;4,876118;629,926403;174,633062;177,468015;0,013041;0,124738;0,130408;0,051596;0,653252;0,031751;0;0,487612;0,487612;0,726542;0,487612;1,19068;0,283495
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;seasoning blend, italian;1;seasoning blend, italian;4;Serving;;4;;;5,4112;0,1984;0,514;1,34;0,826;0,826;0,104;0,04;0;0;0,9052;30,5856;;;;;0,7798;;;;;3,247;26,4092;;39,6144;1,98072;3,96144;0,0002;;0,0014;0,0992;0,0992;;0,2348;;;;;;
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;garlic powder;1/2;garlic powder;4;Serving;;4;;;5,1305;0,256525;0,987815;1,127315;0,1395;0,1395;0,011315;0,003859;0;0;0,93;1,2245;0,008261;0,7285;0,7285;0,7285;0,087575;1,1935;0,015174;0,000186;0,002216;6,417;18,491499;0,37045;0;0;0;0,006742;0;0,002185;0,012338;0,043596;0,025637;0,0186;0,010385;0,010385;0,015474;0,010385;0,0062;0,046345
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;basil, fresh, chopped leaves (AP Untrimmed);1/4;basil, fresh, chopped leaves (AP Untrimmed);4;Serving;;4;;;2,437629;0,333849;0,111283;0,280857;0,169574;0,169574;0,06783;0,004345;0;0;0,423936;18,759148;0,040804;7,206904;7,206904;7,206904;0,335969;6,782969;0,12167;0,033491;0,007737;5,935098;31,265247;0,031795;559,065016;27,953251;55,906502;0,003603;0;0,008055;0,095597;0,164487;0,016428;1,90771;0,084787;0,084787;0,126333;0,084787;43,962116;0,085847
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;tomatoes, diced, canned, no salt added;15;tomatoes, diced, canned, no salt added;4;Serving;;4;;;105,432111;3,514404;14,057615;21,086422;7,028807;7,028807;0;0;0;0;52,716055;0;;;;;0;;;0;0;;808,312849;;;;;;;;;;;;;;;;;
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;pasta, penne, whole wheat, cooked;4;pasta, penne, whole wheat, cooked;4;Serving;;4;;;578,12;23,2412;101,5396;116,6716;15,132;15,132;6,6348;0,94284;0;0;15,52;50,44;0,873;81,48;81,48;81,48;6,6736;209,52;5,12548;0,13968;2,08744;492,76;372,48;140,844;15,52;0,776;1,552;0,60528;0;0,38412;12,12888;17,1082;0,36084;0;0,8924;0,8924;1,329676;0,8924;2,328;5,1992
20-Minute Creamy Tomato Salmon Skillet with Whole Wheat Pasta;dinner;vinegar, red wine;1/3;vinegar, red wine;4;Serving;;4;;;15,098651;0,031787;0,21456;0,21456;0;0;0;0;0;;6,357327;4,767995;0,007947;;;;0,3576;3,178663;0,036555;0;0;6,357327;30,991968;;0;0;0;;;;;;;0,397333;;;;;;0,02384
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;mushrooms, portabella, fresh, uv grown, diced;8;mushrooms, portabella, fresh, uv grown, diced;4;Serving;;4;;;49,895161;4,785399;5,828662;8,777012;2,94835;2,94835;0,793787;0,136078;0;0;20,411657;6,803886;0,648637;63,502932;63,502932;63,502932;0,703068;22,679618;0,156489;;;244,93988;825,538113;42,18409;0;0;0;0,13381;0,113398;0,294835;10,192221;12,020447;0,335658;0;0,045359;0,045359;0,067585;0,045359;0;1,20202
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;soy sauce, from soy & wheat;1;soy sauce, from soy & wheat;4;Serving;;4;;;2,826666;0,434133;0,220267;0,262933;0,042667;0,042667;0,0304;0,003893;0;0;292,959893;1,759999;0,002293;0,746666;0,746666;0,746666;0,077333;3,946665;0,054293;0,001547;0,01248;8,85333;23,199992;0,026667;0;0;0;0,00176;0;0,0088;0,11712;0,202453;0,007893;0;0;0;0;0;0;0,0464
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;oil;2;oil;4;Serving;;4;;;72,240047;0,027067;0,0168;0,0168;0;0;8,151739;2,316721;;6,066671;30,986687;1,026667;0;0,093333;0,093333;0,093333;0,0084;0,093333;;0,293067;2,198095;0,933334;1,213334;0,028;;34,440022;;0,00028;0,0056;0,001493;0,001493;0,001493;0,05264;0;0,950134;;;;7,550672;0,0028
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;black beans, canned;1;black beans, canned;4;Serving;;4;;;225,32;15,1532;25,7484;40,5404;14,792;14,792;0,9288;0,23736;;0;399,04;46,44;0,35776;242,52;242,52;242,52;3,5948;120,4;;0,17888;0,215;239,08;607,16;2,064;;0;;0,3956;0;0,09632;0,82044;0,82044;0,1118;0;1,4792;;;;5,676;1,9092
20-Minute Vegetarian Burrito Bowl - Less Prep;lunch;cumin seeds, ground;1;cumin seeds, ground;4;Serving;;4;;;7,12;0,304;0,064;0,64;0,576;0,576;0,3712;;0;;3,168;13,28;;;;;0,5472;;;;;;;;7,2;0,36;0,72;;0;;;;;0,032;;;;;;
